RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
11320,Emmaus,Pennsylvania,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172100,170500,174700,169800,162500,151700,151100,155800,158400,141700,131100,143600,159100,151900,135500,144600,149400,156100,155500,166100,171300,168200,146700,132500,133200,147800,147800,1.39E+05,142900,1.45E+05,1.55E+05,154800,154600,150300,154800,1.65E+05,145800,153500,157700,186300,189900,191400,179800,160800,153700,162200,173600,186200,183700,182700,159900,1.57E+05,146300,164100,170300,171900,162500,164100,176600,181800
24990,Gulfport,Florida,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105200,100500,97700,98300,89500,95900,104300,109700,114400,118200,125400,1.23E+05,103300,105400,92700,104200,95300,102800,103600,106500,111800,127300,133600,1.35E+05,124400,119900,124700,124200,131600,1.30E+05,130900,1.18E+05,119600,118200,128400,131300,137900,144900,141200,146900,147100,152100,151600,154400,151800,150900,151900,155200,155700,155600,160300,165700,154600,160300,162300,182700,195900,193100,186100,1.68E+05,160500,169700,171300,175500,166900,161900,172600,175900,
47532,Salem,Wisconsin,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153200,159700,1.42E+05,131500,142800,145200,163200,157300,179600,1.74E+05,188400,159200,167100,140200,1.50E+05,150200,152800,165500,173600,201300,196300,190600,173400,177500,168900,187200,
49769,Long Valley,New Jersey,1666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399800,390300,391900,401400,463300,4.53E+05,465400,4.21E+05,424900,405700,352600,344300,3.45E+05,430900,433800,433700,413100,420800,410900,386600,4.19E+05,4.24E+05,450100,4.44E+05,483400,4.74E+05,4.84E+05,446400,473600,443200,442500,389700,411600,383600
395684, Lunenburg,Massachusetts,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229200,2.22E+05,227200,239800,253300,246200,240700,244600,291700,312500,310200,243300,249800,245700,253100,231900,276700,292500,291600,225700,227600,243800,300900,287500,299100,276200,276100,257900,271200,2.82E+05,278200,2.44E+05,255300,
14134,Thurmont,Maryland,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187200,166300,176600,186500,189600,178900,173400,200200,2.07E+05,224600,231800,221600,223800,195600,194500,213400,212500,220600,183700,193900,200800,219500,205300,215900,221200,2.27E+05,210200,204900,2.13E+05,226500,232300,231100,227400,219100,227200,221600,217300,211500,223500,223300,206400,202100,191500,188700,187700,186900,195100,186300,186400,188400,198800,205100,207300,203100,218100,215100,213700,199700,233200,235500,235800,196900,187900,183800,184200,206500,230100,2.45E+05,228900,220100,240200,250200,241700,225700,219600,236900,220700
399156,Warwick,Pennsylvania,1669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207200,206200,2.02E+05,209700,219500,218600,224200,226500,224300,213200,210500,2.14E+05,191400,197200,193600,211200,200100,210500,269300,268400,277100,2.26E+05,246700,239600,229200,238200,238600,263900,244300,223200,231900
12167,Kearney,Missouri,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173600,166700,178800,175500,186700,165600,166500,161300,180100,1.86E+05,189500,168600,166300,170300,173400,173300,166400,173300,1.79E+05,170700,165400,164800,175800,179100,1.80E+05,182500,185300,191500,192500,1.91E+05,1.93E+05,200100,200800,193500,177900,179800,182900,196500,221500,221600,2.19E+05,189600,183500,1.79E+05,186300,194300,199400,199500,191400,204900,212900,214800,225200,234700,252800,232600,245700,264600
30224,Anna,Texas,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152900,154800,161500,165300,166700,156900,1.51E+05,151500,160600,1.61E+05,167900,161300,168200,170400,177400,178600,181800,186300,191500,189900,187400,1.84E+05,183700,186600,188500,190800,192100,194100,191600,190800,198300,205300,2.08E+05,199700,193400,192700,193700,2.05E+05,212900,215100,211200,204600,210700,209200,220600
32403,Lakeside,Virginia,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136800,1.29E+05,138900,135300,133300,120200,104200,107400,108600,136800,144400,145200,128100,1.20E+05,121600,124800,121200,126200,141300,146600,150800,142600,138600,131100,1.34E+05,136700,143100,143200,142800,139800,141100,1.40E+05,141200,139300,1.44E+05,126700,122800,122500,138700,133700,137500,144400,154200,153900,148900,146300,141700,1.47E+05,150800,154600,159800,162200,157600,154500,144700,147800,147600,156200,163700,166500,166400,1.61E+05,156900,156400,160100,160800,162400,164300,168400,162800,163100,156300,165300,169100,183500,180800,174900,165300,168700,174500,177300,178500
